count,word
2,review
2,date
2,store
2,query
2,loading
2,rating
2,star
2,section
2,reader
2,comparison
2,title
2,analytic
2,cover
2,screen
2,unit
2,drop
2,spacer
2,button
2,primary
2,min
2,thumb
2,count
2,offer
2,state
2,icon
2,product
2,arrow
2,wrap
2,parent
2,datum
2,copy
2,plus
2,category
2,standard
2,align
2,link
2,down
2,iron
2,ribbon
2,all
2,popup
2,for
2,order
2,step
2,wrought
2,clearance
2,image
2,home
2,be
2,mobile
2,eligibility
2,status
2,available
2,bind
2,header
2,not
2,availability
2,opener
2,only
2,message
2,qty
2,fade
2,add
2,badge
2,registry
2,detail
2,online
2,hide
2,lazy
2,thumbnail
2,sell
2,percent
2,list
2,current
2,quantity
2,description
2,amt
2,type
2,cart
2,pricing
2,leave
2,any
2,container
2,price
